DNN-1,DNN-2,Rate,Processors,Memory,Response Time,error_percentage,Baseline-Response,Response Time Inflation,fat_response_time,fat_inflation,Baseline-Sum,Baseline-DNN-2,sum_of_fat_cohost_times,SLA_Level_1,SLA_Level_2,SLA_Level_3,All_SLA_Levels_Violated,sla_level_1_fat,sla_level_2_fat,sla_level_3_fat,all_fat_sla_levels_violated,UL-1,UL-2,SLA_1_Diff,SLA_2_Diff,SLA_3_Diff,SLA1<30,SLA2<30%,SLA3<30%
dbert,resnet,18,8,8,21351.2,0,7579.8,2.816855326,23033.1,3.038747724,14317.3,6737.5,46029.5,0,0,0,1,0,0,0,1,1,2,0.882910562,0.765821125,0.53164225,0,0,0
dbert,resnet,20,8,8,24159.7,0,12186.7,1.98246449,28679.7,2.353360631,23082.9,10896.2,58026.5,0,0,0,1,0,0,0,1,1,2,0.896521894,0.793043788,0.586087576,0,0,0
dbert,resnet,2,12,12,537.1,0,464.3,1.156795176,520.5,1.121042429,575.7,111.4,618.8,1,1,1,0,1,1,1,0,1,2,3.654626699,8.309253398,17.6185068,0,0,0
dbert,resnet,4,12,12,181.7,0,157.6,1.152918782,129.3,0.820431472,270.8,113.2,241.7,1,1,1,0,1,1,1,0,1,2,12.75894331,26.51788663,54.03577325,0,0,0
dbert,resnet,6,12,12,308.5,0,180,1.713888889,174.6,0.97,311.5,131.5,318.6,1,1,1,0,1,1,1,0,1,2,7.103727715,15.20745543,31.41491086,0,0,0
dbert,resnet,8,12,12,580.5,0,209.8,2.766920877,282.1,1.344613918,351.2,141.4,523.2,1,1,1,0,1,1,1,0,1,2,3.306632214,7.613264427,16.22652885,0,0,0
dbert,resnet,10,12,12,1765.9,0,249.4,7.080593424,2118.1,8.492782678,409.6,160.2,3986.2,1,1,1,0,1,1,1,0,1,2,0.415708704,1.831417408,4.662834815,0,0,0
dbert,resnet,12,12,12,5342.1,0,320.9,16.64724213,8099.6,25.24026176,507.5,186.6,15939.4,0,0,1,0,0,0,1,0,1,2,0.532019243,0.064038487,0.871923027,0,1,0
dbert,resnet,14,12,12,9723.4,0,436.5,22.27583047,13516,30.96449026,674.1,237.6,26816.6,0,0,1,0,0,0,0,1,1,2,0.74288829,0.48577658,0.02844684,0,0,1
dbert,resnet,16,12,12,16715,0,694.3,24.07460752,16504.9,23.77200058,1022.6,328.3,32855.9,0,0,0,1,0,0,0,1,1,2,0.850433742,0.700867484,0.401734969,0,0,0
dbert,resnet,18,12,12,24230.8,0,1168.9,20.72957481,22830.9,19.53195312,1649.5,480.6,45488.5,0,0,0,1,0,0,0,1,1,2,0.896825528,0.793651056,0.587302111,0,0,0
dbert,resnet,20,12,12,24092.6,0,3311.9,7.274555391,29502.2,8.907938042,4143.1,831.2,59454.3,0,0,0,1,0,0,0,1,1,2,0.896233698,0.792467397,0.584934793,0,0,0
mnist,bert,2,6,6,3.7,0,3.6,1.027777778,4.6,1.277777778,783.1,779.5,695.7,0,1,1,0,1,1,1,0,4,3,0.054054054,0.891891892,2.783783784,1,0,0
mnist,bert,4,6,6,3.1,0,2.7,1.148148148,3.1,1.148148148,80.8,78.1,68.1,1,1,1,0,1,1,1,0,4,3,0.129032258,1.258064516,3.516129032,1,0,0
mnist,bert,6,6,6,3.1,0,2.7,1.148148148,3.1,1.148148148,88.3,85.6,70.5,1,1,1,0,1,1,1,0,4,3,0.129032258,1.258064516,3.516129032,1,0,0
mnist,bert,8,6,6,3.2,0,2.5,1.28,3.1,1.24,93.3,90.8,71.5,1,1,1,0,1,1,1,0,4,3,0.09375,1.1875,3.375,1,0,0
mnist,bert,10,6,6,3.4,0,2.7,1.259259259,3.1,1.148148148,101.9,99.2,75.3,1,1,1,0,1,1,1,0,4,3,0.029411765,1.058823529,3.117647059,1,0,0
mnist,bert,12,6,6,3.7,0,2.5,1.48,3.3,1.32,110.8,108.3,79.3,0,1,1,0,1,1,1,0,4,3,0.054054054,0.891891892,2.783783784,1,0,0
mnist,bert,14,6,6,3.8,0,2.5,1.52,3.6,1.44,118.8,116.3,84.6,0,1,1,0,1,1,1,0,4,3,0.078947368,0.842105263,2.684210526,1,0,0
mnist,bert,16,6,6,3.8,0,2.5,1.52,3.7,1.48,126.8,124.3,92.2,0,1,1,0,1,1,1,0,4,3,0.078947368,0.842105263,2.684210526,1,0,0
mnist,bert,18,6,6,3.7,0,2.5,1.48,6.5,2.6,144.4,141.9,109.9,0,1,1,0,1,1,1,0,4,3,0.054054054,0.891891892,2.783783784,1,0,0
mnist,bert,20,6,6,3.8,0,2.5,1.52,13.8,5.52,166.6,164.1,143,0,1,1,0,1,1,1,0,4,3,0.078947368,0.842105263,2.684210526,1,0,0
mnist,bert,4,8,8,3.4,0,2.6,1.307692308,2.9,1.115384615,73.1,70.5,61.2,1,1,1,0,1,1,1,0,4,3,0.029411765,1.058823529,3.117647059,1,0,0
mnist,bert,6,8,8,3.4,0,2.6,1.307692308,3.1,1.192307692,80.6,78,64.6,1,1,1,0,1,1,1,0,4,3,0.029411765,1.058823529,3.117647059,1,0,0
mnist,bert,8,8,8,3.4,0,2.5,1.36,3.1,1.24,85.6,83.1,66.2,1,1,1,0,1,1,1,0,4,3,0.029411765,1.058823529,3.117647059,1,0,0
mnist,bert,10,8,8,3.4,0,2.6,1.307692308,3.3,1.269230769,90.8,88.2,71.7,1,1,1,0,1,1,1,0,4,3,0.029411765,1.058823529,3.117647059,1,0,0
mnist,bert,12,8,8,3.5,0,2.4,1.458333333,3.4,1.416666667,97.2,94.8,75.8,1,1,1,0,1,1,1,0,4,3,0,1,3,1,0,0
mnist,bert,14,8,8,3.7,0,2.3,1.608695652,4.1,1.782608696,101.9,99.6,83.1,0,1,1,0,1,1,1,0,4,3,0.054054054,0.891891892,2.783783784,1,0,0
mnist,bert,16,8,8,3.7,0,2.3,1.608695652,3.7,1.608695652,110.3,108,90.5,0,1,1,0,1,1,1,0,4,3,0.054054054,0.891891892,2.783783784,1,0,0
mnist,bert,18,8,8,3.8,0,2.3,1.652173913,4.5,1.956521739,127.3,125,99.7,0,1,1,0,1,1,1,0,4,3,0.078947368,0.842105263,2.684210526,1,0,0
mnist,bert,20,8,8,4.1,0,2.4,1.708333333,5.2,2.166666667,142.1,139.7,110.5,0,1,1,0,1,1,1,0,4,3,0.146341463,0.707317073,2.414634146,1,0,0
mnist,bert,2,12,12,4,0,4,1,4.2,1.05,751.6,747.6,541.1,0,1,1,0,1,1,1,0,4,3,0.125,0.75,2.5,1,0,0
mnist,bert,4,12,12,3.2,0,2.4,1.333333333,3.1,1.291666667,63.1,60.7,60.7,1,1,1,0,1,1,1,0,4,3,0.09375,1.1875,3.375,1,0,0
mnist,bert,6,12,12,3.2,0,2.4,1.333333333,3.1,1.291666667,67.5,65.1,60.1,1,1,1,0,1,1,1,0,4,3,0.09375,1.1875,3.375,1,0,0
mnist,bert,8,12,12,3.4,0,2.3,1.47826087,3.3,1.434782609,68.5,66.2,62.6,1,1,1,0,1,1,1,0,4,3,0.029411765,1.058823529,3.117647059,1,0,0
mnist,bert,10,12,12,3.6,0,2.3,1.565217391,3.5,1.52173913,73.9,71.6,67.8,0,1,1,0,1,1,1,0,4,3,0.027777778,0.944444444,2.888888889,1,0,0
mnist,bert,12,12,12,3.7,0,2.3,1.608695652,3.5,1.52173913,77.9,75.6,72,0,1,1,0,1,1,1,0,4,3,0.054054054,0.891891892,2.783783784,1,0,0
mnist,bert,14,12,12,3.6,0,2.4,1.5,3.8,1.583333333,83.1,80.7,76.6,0,1,1,0,1,1,1,0,4,3,0.027777778,0.944444444,2.888888889,1,0,0
mnist,bert,16,12,12,3.7,0,2.6,1.423076923,3.7,1.423076923,88,85.4,76.9,0,1,1,0,1,1,1,0,4,3,0.054054054,0.891891892,2.783783784,1,0,0
mnist,bert,18,12,12,3.8,0,2.5,1.52,3.6,1.44,94.2,91.7,84.3,0,1,1,0,1,1,1,0,4,3,0.078947368,0.842105263,2.684210526,1,0,0
mnist,bert,20,12,12,3.9,0,2.4,1.625,3.9,1.625,105.1,102.7,93.8,0,1,1,0,1,1,1,0,4,3,0.102564103,0.794871795,2.58974359,1,0,0
mnist,dbert,2,6,6,4.1,0,3.6,1.138888889,16,4.444444444,291.9,288.3,565.2,0,1,1,0,1,1,1,0,4,1,0.146341463,0.707317073,2.414634146,1,0,0
mnist,dbert,4,6,6,3.7,0,2.7,1.37037037,3.8,1.407407407,232.6,229.9,169.5,0,1,1,0,1,1,1,0,4,1,0.054054054,0.891891892,2.783783784,1,0,0
mnist,dbert,6,6,6,3.9,0,2.7,1.444444444,5.8,2.148148148,291.6,288.9,196.4,0,1,1,0,1,1,1,0,4,1,0.102564103,0.794871795,2.58974359,1,0,0
mnist,dbert,8,6,6,3.9,0,2.5,1.56,8.3,3.32,423.8,421.3,228.9,0,1,1,0,1,1,1,0,4,1,0.102564103,0.794871795,2.58974359,1,0,0
mnist,dbert,10,6,6,4,0,2.7,1.481481481,18.3,6.777777778,792.5,789.8,283.1,0,1,1,0,1,1,1,0,4,1,0.125,0.75,2.5,1,0,0
mnist,dbert,12,6,6,4,0,2.5,1.6,54.9,21.96,4521.6,4519.1,399.6,0,1,1,0,1,1,1,0,4,1,0.125,0.75,2.5,1,0,0
mnist,dbert,14,6,6,4.1,0,2.5,1.64,343.2,137.28,10483.8,10481.3,1019.7,0,1,1,0,1,1,1,0,4,1,0.146341463,0.707317073,2.414634146,1,0,0
mnist,dbert,16,6,6,3.9,0,2.5,1.56,3780.8,1512.32,14440.8,14438.3,7657.7,0,1,1,0,0,0,0,1,4,1,0.102564103,0.794871795,2.58974359,1,0,0
mnist,dbert,18,6,6,3.8,0,2.5,1.52,7849.7,3139.88,19623.7,19621.2,16145.2,0,1,1,0,0,0,0,1,4,1,0.078947368,0.842105263,2.684210526,1,0,0
mnist,dbert,20,6,6,4,0,2.5,1.6,12660.7,5064.28,26114.1,26111.6,25828.8,0,1,1,0,0,0,0,1,4,1,0.125,0.75,2.5,1,0,0
mnist,dbert,2,8,8,4.3,0,3.6,1.194444444,12.6,3.5,496.1,492.5,583.4,0,1,1,0,1,1,1,0,4,1,0.186046512,0.627906977,2.255813953,1,0,0
mnist,dbert,4,8,8,3.4,0,2.6,1.307692308,3.2,1.230769231,179,176.4,122,1,1,1,0,1,1,1,0,4,1,0.029411765,1.058823529,3.117647059,1,0,0
mnist,dbert,6,8,8,3.7,0,2.6,1.423076923,3.3,1.269230769,213.5,210.9,136.2,0,1,1,0,1,1,1,0,4,1,0.054054054,0.891891892,2.783783784,1,0,0
mnist,dbert,8,8,8,3.9,0,2.5,1.56,3.8,1.52,267.4,264.9,145.4,0,1,1,0,1,1,1,0,4,1,0.102564103,0.794871795,2.58974359,1,0,0
mnist,dbert,10,8,8,4.3,0,2.6,1.653846154,3.8,1.461538462,355.6,353,159.7,0,1,1,0,1,1,1,0,4,1,0.186046512,0.627906977,2.255813953,1,0,0
mnist,dbert,12,8,8,4.3,0,2.4,1.791666667,5.4,2.25,515.1,512.7,184,0,1,1,0,1,1,1,0,4,1,0.186046512,0.627906977,2.255813953,1,0,0
mnist,dbert,14,8,8,4.3,0,2.3,1.869565217,8.8,3.826086957,913.4,911.1,223,0,1,1,0,1,1,1,0,4,1,0.186046512,0.627906977,2.255813953,1,0,0
mnist,dbert,16,8,8,4.1,0,2.3,1.782608696,22,9.565217391,3828.7,3826.4,289.9,0,1,1,0,1,1,1,0,4,1,0.146341463,0.707317073,2.414634146,1,0,0
mnist,dbert,18,8,8,4.1,0,2.3,1.782608696,141.1,61.34782609,7582.1,7579.8,588,0,1,1,0,1,1,1,0,4,1,0.146341463,0.707317073,2.414634146,1,0,0
mnist,dbert,20,8,8,4.2,0,2.4,1.75,2221.2,925.5,12189.1,12186.7,4608.7,0,1,1,0,0,0,0,1,4,1,0.166666667,0.666666667,2.333333333,1,0,0
